Year,Annual % Change_nasdaq,Annual % Change_dowj,Annual % Change_sp500,Annual % Change_gold,Annual % Change_silver,Annual % Change_crude,Annual % Change_copper_cotton,Annual % Change_corn_cotton,Annual % Change_cotton,Annual % Change_coffee_cotton,Annual % Change_sugar_cotton,Annual % Change_pound,Annual % Change_yen,Annual % Change_FFRrate,Annual % Change_tenyrRate,Annual % Change_oneyrRate,Annual Unemployment Rate
2024.0,9.05,5.55,9.89,4.7,3.64,14.54,3.0,-6.53,13.58,-5.64,6.69,-0.51,6.85,0.0,10.05,4.59,3.8
2023.0,43.42,13.7,24.23,13.08,-0.72,-11.4,1.89,-30.62,-2.41,17.43,2.19,5.22,7.56,23.09,0.0,1.27,3.625
2022.0,-33.1,-8.78,-19.44,-0.23,2.64,7.05,-14.4,14.37,-26.29,-26.14,6.2,-10.52,13.91,6085.71,155.26,1112.82,3.6333333333333333
2021.0,21.39,18.73,26.89,-3.51,-11.55,55.01,26.83,22.57,44.14,76.3,21.89,-1.23,11.49,-22.22,63.44,290.0,5.341666666666666
2020.0,43.64,7.25,16.26,24.43,47.44,-20.54,25.8,24.82,13.14,-1.12,15.42,3.21,-5.0,-94.19,-51.56,-93.71,8.091666666666667
2019.0,35.23,22.34,28.88,18.83,15.36,34.46,6.31,3.4,-4.36,27.34,11.55,4.04,-0.89,-35.42,-28.62,-39.54,3.6750000000000003
2018.0,-3.88,-5.63,-6.24,-1.15,-9.4,-24.84,-20.2,6.91,-8.18,-19.29,-20.65,-5.67,-2.69,80.45,11.83,51.88,3.891666666666666
2017.0,28.24,25.08,19.42,12.57,7.12,12.47,31.65,-0.36,11.3,-7.92,-22.3,9.51,-3.65,141.82,-1.59,113.62,4.358333333333333
2016.0,7.5,13.42,9.54,8.63,15.86,45.03,17.38,-1.88,11.65,8.17,28.02,-16.05,-2.75,175.0,7.68,24.71,4.875
2015.0,5.73,-2.23,-0.73,-11.59,-13.59,-30.47,-24.57,-9.63,4.99,-23.95,4.96,-5.77,0.35,233.33,4.61,160.0,5.2749999999999995
2014.0,13.4,7.52,11.39,-0.19,-18.1,-45.87,-16.95,-5.92,-28.79,50.5,-11.52,-6.02,13.87,-14.29,-28.62,92.31,6.158333333333334
