Macrotrends Data Download



DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.



ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
1947-12-01,27.78
1948-12-01,24.15
1949-12-01,0
1950-12-01,0
1951-12-01,0
1952-12-01,0
1953-12-01,9.73
1954-12-01,0
1955-12-01,0
1956-12-01,0
1957-12-01,6.38
1958-12-01,0
1959-12-01,-1
1960-12-01,0
1961-12-01,0
1962-12-01,0
1963-12-01,0
1964-12-01,-1.68
1965-12-01,0
1966-12-01,1.71
1967-12-01,3.37
1968-12-01,0
1969-12-01,9.12
1970-12-01,6.27
1971-12-01,0
1972-12-01,0
1973-12-01,21.07
1974-12-01,158.93
1975-12-01,0
1976-12-01,24.55
1977-12-01,6.83
1978-12-01,0
1979-12-01,118.86
1980-12-01,13.85
1981-12-01,-5.41
1982-12-01,-9.37
1983-12-01,-6.68
1984-12-01,-10.78
1985-12-01,-0.42
1986-12-01,-31.79
1987-12-01,-6.91
1988-12-01,3.23
1989-12-01,26.57
1990-12-01,30.34
1991-12-01,-32.77
1992-12-01,1.99
1993-12-01,-27.33
1994-12-01,25.34
1995-12-01,10.08
1996-12-01,32.58
1997-12-01,-31.94
1998-12-01,-31.69
1999-12-01,112.45
2000-12-01,4.69
2001-12-01,-25.97
2002-12-01,57.26
2003-12-01,4.23
2004-12-01,33.61
2005-12-01,40.48
2006-12-01,0.02
2007-12-01,57.22
2008-12-01,-53.53
2009-12-01,77.94
2010-12-01,15.15
2011-12-01,8.15
2012-12-01,-7.09
2013-12-01,7.19
2014-12-01,-45.87
2015-12-01,-30.47
2016-12-01,45.03
2017-12-01,12.47
2018-12-01,-24.84
2019-12-01,34.46
2020-12-01,-20.54
2021-12-01,55.01
2022-12-01,7.05
2023-12-01,-11.4
2024-03-01,14.54
